YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS
0.0,0.0,0.1729508196721311,0.21272907379891032,0.22782037239868558,0.7197957807532993,0.0,0.35288461538461546,0.3919082125603863,0.16985138004246284,0.5
0.0,0.0027397260273972603,0.18797814207650265,0.27587914809311537,0.19687842278203727,0.5528754455254792,0.0,0.5500000000000002,0.48852657004830913,0.5208775654635527,0.4649122807017534
0.0,0.0054794520547945215,0.19535519125683054,0.2701832590391282,0.18921139101861995,0.5309893073884981,0.0,0.5115384615384617,0.46437198067632846,0.627034677990092,0.38596491228070207
0.0,0.008219178082191782,0.19480874316939878,0.2620108964834076,0.2075575027382256,0.45269241884211536,0.0,0.6298076923076925,0.648550724637681,0.7091295116772823,0.39473684210526017
0.0,0.010958904109589041,0.19153005464480866,0.27587914809311537,0.1889375684556407,0.40753299296792217,0.0,0.4384615384615385,0.4347826086956521,0.5109695682944091,0.41666666666666785
0.0,0.013698630136986304,0.20573770491803278,0.2654779593858345,0.25191675794085433,0.3333975532222329,0.0,0.26730769230769236,0.2095410628019323,0.36376503892427464,0.3771929824561404
0.0,0.016438356164383564,0.17868852459016382,0.2382367508667657,0.14978094194961655,0.5228205375204702,0.0,0.516346153846154,0.5144927536231884,0.6709129511677282,0.2894736842105239
0.0,0.019178082191780823,0.21174863387978138,0.23402674591381867,0.21412924424972613,0.8947307581157886,0.0,0.42884615384615393,0.4064009661835748,0.5138004246284501,0.24561403508771917
0.0,0.021917808219178082,0.24207650273224035,0.21025260029717674,0.333789704271632,0.8004045853000674,0.09263157894736841,0.6326923076923079,0.6431159420289854,0.6822363765038925,0.14035087719297934
0.0,0.024657534246575342,0.24043715846994534,0.15378900445765226,0.3250273822562979,0.6818803583469801,0.22736842105263158,0.6740384615384618,0.5839371980676328,0.7586694975230007,0.11403508771929438
0.0,0.027397260273972605,0.2169398907103824,0.2117384843982169,0.2458926615553121,0.4861381369810231,0.0,0.8250000000000002,0.7427536231884057,0.7445152158527955,0.2324561403508767
0.0,0.030136986301369868,0.23825136612021852,0.2369985141158989,0.3039430449069004,0.725498506887583,0.021052631578947368,0.7298076923076926,0.6413043478260868,0.6794055201698513,0.2894736842105239
0.0,0.03287671232876712,0.22185792349726774,0.20678553739474986,0.30257393209200434,0.7523167324920528,0.27789473684210525,0.751923076923077,0.6467391304347825,0.8888888888888888,0.17982456140350678
0.0,0.03561643835616438,0.2204918032786885,0.1693907875185735,0.31653888280394293,0.6488970234081495,0.4084210526315789,0.7105769230769232,0.6829710144927534,0.6326963906581742,0.04824561403508554
0.0,0.03835616438356164,0.13251366120218566,0.1572560673600792,0.16648411829134724,0.5800019265966669,0.016842105263157894,0.8221153846153848,0.8212560386473429,0.6227883934890305,0.030701754385962232
0.0,0.0410958904109589,0.08060109289617479,0.08964834076275374,0.11774370208105145,0.4600905500433485,0.0,0.7567307692307694,0.6268115942028984,0.805378627034678,0.1315789473684177
0.0,0.043835616438356165,0.05901639344262288,0.10624071322436845,0.07858707557502742,0.41893844523648976,0.0,0.6826923076923079,0.7880434782608694,0.6100495399858458,0.2543859649122773
0.0,0.04657534246575342,0.14562841530054638,0.22288261515601776,0.11527929901423872,0.5619689817936615,0.0,0.766346153846154,0.7499999999999999,0.8478414720452937,0.4517543859649109
0.0,0.049315068493150684,0.22377049180327857,0.2724120851906884,0.20262869660460014,0.717792120219632,0.012631578947368419,0.5644230769230771,0.5537439613526569,0.5208775654635527,0.2412280701754348
0.0,0.05205479452054794,0.20355191256830596,0.1478454680534918,0.25547645125958385,0.8350833253058472,0.21052631578947367,0.5057692307692309,0.44504830917874394,0.689313517338995,0.02192982456140058
0.0,0.0547945205479452,0.1308743169398906,0.17706785537394742,0.1185651697699891,0.43835853963972643,0.012631578947368419,0.605769230769231,0.5634057971014491,0.6525123849964615,0.19298245614034926
0.0,0.057534246575342465,0.15054644808743156,0.18400198117880134,0.17552026286966038,0.4220209999036701,0.0,0.49519230769230776,0.4130434782608695,0.5152158527954706,0.15350877192982537
0.0,0.06027397260273973,0.12267759562841518,0.1324913323427439,0.17168674698795172,0.6570657932761776,0.025263157894736838,0.4413461538461539,0.39794685990338163,0.3397027600849257,0.19736842105263008
0.0,0.06301369863013699,0.11994535519125682,0.16468548786527976,0.1563526834611172,0.681263847413544,0.050526315789473676,0.4000000000000001,0.45229468599033806,0.37933474876150036,0.2543859649122773
0.0,0.06575342465753424,0.13606557377049178,0.1731054977711738,0.13855421686746983,0.5356131393892689,0.0,0.3288461538461539,0.4100241545893719,0.32271762208067944,0.3552631578947363
0.0,0.0684931506849315,0.17841530054644805,0.22882615156017827,0.17250821467688937,0.5252865812542145,0.0,0.426923076923077,0.5084541062801932,0.3368719037508847,0.3728070175438596
0.0,0.07123287671232877,0.1693989071038251,0.16815255076770674,0.23904709748083242,0.7486176668914364,0.021052631578947368,0.3932692307692308,0.4003623188405796,0.4444444444444445,0.2631578947368425
0.0,0.07397260273972603,0.1502732240437158,0.1631996037642397,0.14759036144578308,0.5810808207301801,0.0,0.275,0.28562801932367143,0.14295824486907288,0.22807017543859587
0.0,0.07671232876712329,0.12404371584699447,0.11812778603268942,0.13964950711938662,0.4429823716404971,0.13473684210526315,0.42884615384615393,0.4933574879227053,0.048124557678697805,0.26754385964911975
0.0,0.07945205479452054,0.014207650273224015,0.06785537394749869,0.018893756845564047,0.48706290338117725,0.004210526315789474,0.6298076923076925,0.5609903381642511,0.8195329087048832,0.337719298245613
0.0,0.0821917808219178,0.1499999999999999,0.22981674096087168,0.10706462212486301,0.7416819188902803,0.21052631578947367,0.5125000000000002,0.45833333333333326,0.5491861288039632,0.2587719298245581
0.0,0.08493150684931507,0.1644808743169398,0.17706785537394742,0.22179627601314345,0.8466429053077738,0.2652631578947368,0.4432692307692309,0.4070048309178743,0.4968152866242039,0.12719298245613686
0.0,0.08767123287671233,0.15109289617486332,0.17954432887568095,0.17059145673603504,0.8372411135728735,0.1936842105263158,0.5057692307692309,0.41425120772946855,0.5704175513092711,0.12280701754385959
0.0,0.09041095890410959,0.12759562841530048,0.13422486379395732,0.11774370208105145,0.6342548887390425,0.008421052631578947,0.5673076923076925,0.48007246376811585,0.6426043878273178,0.21052631578947256
0.0,0.09315068493150684,0.1333333333333333,0.14512134720158493,0.1779846659364731,0.5803101820633851,0.07157894736842105,0.4846153846153847,0.6020531400966183,0.4019815994338288,0.2149122807017534
0.0,0.0958904109589041,0.12049180327868847,0.16171371966319958,0.12322015334063519,0.6428860418071478,0.13894736842105262,0.4057692307692308,0.4190821256038647,0.4232130219391366,0.2412280701754348
0.0,0.09863013698630137,0.2109289617486338,0.19217434373452202,0.26067907995618833,0.7783643194297274,0.3410526315789474,0.4480769230769232,0.4184782608695652,0.3849964614295825,0.23684210526315752
0.0,0.10136986301369863,0.19262295081967207,0.196384348687469,0.2163198247535596,0.7894615162315768,0.1263157894736842,0.33461538461538465,0.3490338164251207,0.35244161358811044,0.19298245614034926
0.0,0.10410958904109589,0.18196721311475406,0.23600792471520554,0.15498357064622126,0.5975724881995954,0.004210526315789474,0.44038461538461543,0.39855072463768115,0.43170559094125976,0.17105263157894512
0.0,0.10684931506849314,0.1704918032786884,0.20381376919266958,0.17771084337349385,0.46779693671129957,0.021052631578947368,0.4730769230769231,0.4728260869565216,0.43595187544232133,0.10526315789473628
0.0,0.1095890410958904,0.18005464480874311,0.19737493808816242,0.14430449069003282,0.4805895385800983,0.0,0.5855769230769232,0.4939613526570048,0.5874026893135174,0.149122807017541
0.0,0.11232876712328767,0.23633879781420758,0.2097573055968301,0.2650602409638554,0.6504383007417396,0.0,0.5692307692307694,0.5628019323671496,0.5916489738145789,0.1315789473684177
0.0,0.11506849315068493,0.22459016393442616,0.15032194155522532,0.333789704271632,0.5929486561988249,0.0,0.7567307692307694,0.7077294685990336,0.689313517338995,0.12280701754385959
0.0,0.1178082191780822,0.22431693989071033,0.21941555225359083,0.2902519167579408,0.5857046527309508,0.0,0.6240384615384618,0.6419082125603863,0.29440905874026896,0.18859649122806843
0.0,0.12054794520547946,0.17923497267759558,0.1649331352154531,0.20673603504928806,0.5812349484635393,0.0,0.46730769230769237,0.44987922705314,0.37933474876150036,0.22368421052631504
0.0,0.12328767123287672,0.16038251366120215,0.23476968796433872,0.12376779846659358,0.5362296503227049,0.0,0.5605769230769232,0.5694444444444444,0.5180467091295117,0.31578947368420884
0.0,0.12602739726027398,0.26530054644808737,0.2731550272412085,0.30065717415115,0.579385415663231,0.0968421052631579,0.7500000000000002,0.6352657004830917,0.9440905874026893,0.21929824561403422
0.0,0.12876712328767126,0.17923497267759558,0.14635958395245163,0.21987951807228912,0.6573740487428956,0.03368421052631579,0.5605769230769232,0.5489130434782609,0.31705590941259737,0.04824561403508554
0.0,0.1315068493150685,0.1371584699453552,0.101040118870728,0.20673603504928806,0.7392158751565361,0.008421052631578947,0.42884615384615393,0.464975845410628,0.3665958952583157,0.0
0.0,0.13424657534246576,0.10491803278688516,0.07776126795443289,0.15744797371303387,0.6524419612754071,0.0,0.4317307692307693,0.4945652173913043,0.39348903043170563,0.0
0.0,0.13698630136986303,0.09672131147540974,0.08197127290737982,0.1552573932092004,0.5405452268567577,0.0,0.5471153846153848,0.5972222222222221,0.4104741684359519,0.0
0.0,0.13972602739726028,0.12595628415300542,0.11020307082714209,0.12294633077765604,0.4918408631153068,0.0,0.8548076923076925,0.7795893719806761,0.7954706298655343,0.004385964912277274
0.0,0.14246575342465756,0.18360655737704912,0.1953937592867756,0.2220700985761226,0.3431076004238513,0.0,0.9403846153846157,0.8272946859903381,0.9157820240622789,0.07017543859648967
0.0,0.1452054794520548,0.15327868852459015,0.15502724120851902,0.18674698795180722,0.3959734129659956,0.0,0.7567307692307694,0.7487922705314008,0.5322009907997169,0.11403508771929438
0.0,0.14794520547945206,0.11830601092896165,0.1329866270430906,0.14156626506024095,0.40753299296792217,0.0,0.45576923076923087,0.5144927536231884,0.329794762915782,0.19736842105263008
0.0,0.15068493150684933,0.16366120218579228,0.20827142149578992,0.18619934282584882,0.30827473268471245,0.0,0.3211538461538462,0.4589371980676328,0.12455767869780611,0.15350877192982537
0.0,0.15342465753424658,0.17978142076502723,0.20257553244180282,0.19687842278203727,0.3001059628166843,0.0,0.2365384615384616,0.358695652173913,0.055201698513800426,0.06140350877192802
0.0,0.15616438356164386,0.13387978142076495,0.17533432392273396,0.11445783132530118,0.22335035160389177,0.0,0.5346153846153847,0.5519323671497584,0.4656758669497523,0.11842105263157876
0.0,0.1589041095890411,0.18551912568306006,0.22956909361069833,0.11774370208105145,0.3543589249590599,0.0,0.34519230769230774,0.24577294685990336,0.46142958244869076,0.2324561403508767
0.0,0.16164383561643836,0.23743169398907094,0.2538385339276869,0.19496166484118294,0.47951064444658514,0.16421052631578947,0.5971153846153848,0.6014492753623187,0.4217975937721161,0.2412280701754348
0.0,0.16438356164383564,0.2693989071038251,0.2169390787518573,0.3524096385542169,0.6982178980830365,0.08842105263157894,0.3442307692307693,0.28743961352657,0.08067940552016985,0.1315789473684177
0.0,0.16712328767123288,0.23688524590163923,0.19564140663694896,0.2913472070098576,0.6871207012811869,0.311578947368421,0.31730769230769235,0.31159420289855067,0.12031139419674453,0.1315789473684177
0.0,0.16986301369863016,0.2010928961748633,0.20381376919266958,0.2267250821467689,0.521895771120316,0.11789473684210527,0.6259615384615386,0.7216183574879226,0.47275300778485496,0.11842105263157876
0.0,0.1726027397260274,0.21174863387978138,0.28083209509658247,0.15799561883899227,0.42325402177054233,0.0,0.5317307692307695,0.5954106280193235,0.4968152866242039,0.26754385964911975
0.0,0.17534246575342466,0.25683060109289607,0.25606736007924713,0.291894852135816,0.4970812060495136,0.0,0.578846153846154,0.542270531400966,0.5633404104741685,0.25
0.0,0.17808219178082194,0.2923497267759562,0.3038632986627043,0.32694414019715223,0.48891243618148544,0.0,0.603846153846154,0.5688405797101449,0.6411889596602972,0.28070175438596223
0.0,0.18082191780821918,0.29726775956284146,0.3355621594848935,0.261500547645126,0.275753780945959,0.0,0.7307692307692311,0.6896135265700483,0.5661712668082094,0.2543859649122773
0.0,0.18356164383561646,0.2663934426229508,0.23452204061416537,0.31599123767798465,0.5693671129948945,0.11368421052631579,0.4961538461538462,0.4245169082125603,0.37508846426043885,0.19298245614034926
