YEAR,DOY,T2M,T2M_MAX,T2M_MIN,RH2M,PRECTOTCORR,WS10M,WS10M_MAX,WS10M_MIN,PS,AQI,LOC,hasSprinkler,isIndustrial
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8850102669404516,0.0,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8377823408624229,0.0,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7946611909650922,0.05263157894736842,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7823408624229978,0.10526315789473684,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8172484599589321,0.15789473684210525,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.6919917864476385,0.2631578947368421,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7802874743326488,0.3157894736842105,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.9014373716632443,0.3684210526315789,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8028747433264886,0.3684210526315789,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.6755646817248459,0.42105263157894735,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7638603696098561,0.5263157894736842,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8501026694045173,0.5789473684210527,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7535934291581108,0.631578947368421,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7967145790554413,0.631578947368421,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7987679671457905,0.7368421052631579,0.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.7946611909650922,0.7894736842105263,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.868583162217659,0.8421052631578947,1.0,1.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8049281314168376,0.894736842105263,0.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.8110882956878849,0.9473684210526315,1.0,0.0
0.0,0.0,0.09866363377878873,0.12321899736147757,0.13623516110797074,0.7142336431565519,0.0,0.3940634595701125,0.4554517133956385,0.4663359319631466,0.45535714285714235,0.870636550308008,1.0,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8993839835728951,0.0,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.9096509240246407,0.0,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8767967145790553,0.05263157894736842,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8603696098562627,0.15789473684210525,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8480492813141682,0.3157894736842105,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8850102669404516,0.3684210526315789,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8542094455852155,0.3684210526315789,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8809034907597534,0.5263157894736842,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.7494866529774126,0.631578947368421,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.870636550308008,0.631578947368421,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8788501026694043,0.7368421052631579,0.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8562628336755645,0.7894736842105263,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.9178644763860367,0.8421052631578947,1.0,1.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8562628336755645,0.894736842105263,0.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.8891170431211497,0.9473684210526315,1.0,0.0
0.0,0.002739726027397199,0.13505828831390387,0.1799472295514511,0.13001695873374786,0.6732276289411336,0.0,0.4953940634595702,0.5190031152647975,0.656272147413182,0.33035714285714235,0.926078028747433,1.0,1.0,1.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.9404517453798765,0.0,0.0,0.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.8377823408624229,0.05263157894736842,1.0,1.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.924024640657084,0.10526315789473684,1.0,1.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.8993839835728951,0.15789473684210525,0.0,0.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.8459958932238192,0.2631578947368421,0.0,0.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.9055441478439422,0.3157894736842105,0.0,0.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.9445585215605747,0.3684210526315789,1.0,1.0
0.0,0.0054794520547945015,0.11856696047767967,0.062005277044854756,0.22018089315997746,0.9061417896847095,0.1810526315789473,0.36540429887410447,0.2778816199376946,0.4436569808646349,0.20089285714285765,0.9096509240246407,0.3684210526315789,1.0,1.0
