AQI,year,location,day_of_year
0.9383983572895277,0.0,0.0,0.0
0.8788501026694046,0.0,0.0,0.0027397260273972603
0.864476386036961,0.0,0.0,0.0054794520547945215
0.9117043121149898,0.0,0.0,0.008219178082191782
0.8726899383983573,0.0,0.0,0.010958904109589041
0.9486652977412732,0.0,0.0,0.013698630136986304
0.8357289527720739,0.0,0.0,0.016438356164383564
0.75564681724846,0.0,0.0,0.019178082191780823
0.8932238193018481,0.0,0.0,0.021917808219178082
0.8870636550308009,0.0,0.0,0.024657534246575342
0.7002053388090349,0.0,0.0,0.027397260273972605
0.7371663244353183,0.0,0.0,0.030136986301369868
0.8439425051334702,0.0,0.0,0.03287671232876712
0.8665297741273101,0.0,0.0,0.03561643835616438
0.891170431211499,0.0,0.0,0.03835616438356164
0.6139630390143738,0.0,0.0,0.0410958904109589
0.8357289527720739,0.0,0.0,0.043835616438356165
0.9425051334702259,0.0,0.0,0.04657534246575342
0.9404517453798769,0.0,0.0,0.049315068493150684
0.8090349075975359,0.0,0.0,0.05205479452054794
0.7987679671457906,0.0,0.0,0.057534246575342465
0.7330595482546202,0.0,0.0,0.06027397260273973
0.6447638603696099,0.0,0.0,0.06301369863013699
0.7002053388090349,0.0,0.0,0.0684931506849315
0.7207392197125256,0.0,0.0,0.07123287671232877
0.7618069815195072,0.0,0.0,0.07397260273972603
0.7782340862422998,0.0,0.0,0.07671232876712329
0.6078028747433265,0.0,0.0,0.07945205479452054
0.5482546201232033,0.0,0.0,0.0821917808219178
0.7186858316221766,0.0,0.0,0.08493150684931507
0.6139630390143738,0.0,0.0,0.08767123287671233
0.44353182751540043,0.0,0.0,0.09041095890410959
0.5030800821355236,0.0,0.0,0.09315068493150684
0.6714579055441479,0.0,0.0,0.0958904109589041
0.5626283367556468,0.0,0.0,0.09863013698630137
0.5338809034907598,0.0,0.0,0.10136986301369863
0.6714579055441479,0.0,0.0,0.10410958904109589
0.75564681724846,0.0,0.0,0.10684931506849314
0.784394250513347,0.0,0.0,0.1095890410958904
0.7002053388090349,0.0,0.0,0.11232876712328767
0.2915811088295688,0.0,0.0,0.11506849315068493
0.39630390143737165,0.0,0.0,0.1178082191780822
0.35523613963039014,0.0,0.0,0.12054794520547946
0.3675564681724846,0.0,0.0,0.12328767123287672
0.46406570841889117,0.0,0.0,0.12602739726027398
0.5646817248459959,0.0,0.0,0.12876712328767126
0.5852156057494867,0.0,0.0,0.1315068493150685
0.7207392197125256,0.0,0.0,0.13424657534246576
0.8028747433264888,0.0,0.0,0.13698630136986303
0.7535934291581109,0.0,0.0,0.13972602739726028
0.7987679671457906,0.0,0.0,0.14246575342465756
0.811088295687885,0.0,0.0,0.1452054794520548
0.7351129363449692,0.0,0.0,0.14794520547945206
0.6036960985626284,0.0,0.0,0.15068493150684933
0.37782340862423,0.0,0.0,0.15342465753424658
0.41478439425051333,0.0,0.0,0.15616438356164386
0.6427104722792608,0.0,0.0,0.1589041095890411
0.6919917864476386,0.0,0.0,0.16164383561643836
0.6242299794661191,0.0,0.0,0.16438356164383564
0.41067761806981523,0.0,0.0,0.16712328767123288
0.43121149897330596,0.0,0.0,0.16986301369863016
0.3942505133470226,0.0,0.0,0.1726027397260274
0.41067761806981523,0.0,0.0,0.17534246575342466
0.35728952772073924,0.0,0.0,0.17808219178082194
0.6652977412731006,0.0,0.0,0.18082191780821918
0.6837782340862423,0.0,0.0,0.18356164383561646
0.37166324435318276,0.0,0.0,0.1863013698630137
0.33880903490759756,0.0,0.0,0.18904109589041096
0.7679671457905545,0.0,0.0,0.2
0.6735112936344969,0.0,0.0,0.20273972602739726
0.3942505133470226,0.0,0.0,0.20547945205479454
0.7227926078028748,0.0,0.0,0.21643835616438356
0.47843942505133474,0.0,0.0,0.21917808219178084
0.3162217659137577,0.0,0.0,0.2219178082191781
0.4291581108829569,0.0,0.0,0.22465753424657536
0.4004106776180698,0.0,0.0,0.2301369863013699
0.6796714579055442,0.0,0.0,0.23287671232876714
0.6468172484599589,0.0,0.0,0.2356164383561644
0.5277207392197125,0.0,0.0,0.23835616438356166
0.6242299794661191,0.0,0.0,0.2410958904109589
0.43737166324435317,0.0,0.0,0.24931506849315072
